일자,사실때,파실때
2008-03-03,954.21,921.39
2008-03-04,961.84,928.76
2008-03-05,963.47,930.33
2008-03-06,963.77,930.63
2008-03-07,965.91,932.69
2008-03-10,974.05,940.55
2008-03-11,976.08,942.52
2008-03-12,990.84,956.76
2008-03-13,983.92,950.08
2008-03-14,997.65,963.35
2008-03-17,1005.59,971.01
2008-03-18,1039.57,1003.83
2008-03-19,1037.64,1001.96
2008-03-20,1026.86,991.54
2008-03-21,1031.64,996.16
2008-03-24,1022.48,987.32
2008-03-25,1017.7,982.7
2008-03-26,1002.54,968.06
2008-03-27,1001.83,967.37
2008-03-28,1010.37,975.63
2008-03-31,1009.05,974.35
