number,city,state,murder,forcible_rape,robbery,assault,burglary,larceny_theft,motor_vehicle_theft,arson
1,AKRON,OH,7,86,288,230,"1,462","3,764",681,40
2,ALBIQUERQUE,NM,14,121,567,"1,581","2,407","10,042","1,941",28
3,ALEXANDRIA,VA,0,14,74,102,155,"1,195",260,7
4,AMARILLO,TX,2,46,195,490,"1,089","4,120",469,25
5,ANAHEIM,CA,7,41,245,444,891,"3,415",990,12
6,ARLINGTON,TX,8,105,307,460,"1,619","7,059",756,28
7,ATLANTA,GA,52,127,"1,546","2,224","3,094","10,408","2,909",116
8,AURORA,CO,5,97,250,420,"1,205","4,947","1,178",53
9,BATON ROUGE,LA,20,50,398,679,"1,874","5,026",769,76
10,BEAUMONT,TX,6,25,139,294,803,"3,348",244,15
11,BELLEVUE,WA,0,18,40,34,321,"1,801",277,16
12,BIRMINGHAM,AL,24,138,557,773,"2,362","5,871","1,175",72
13,BOISE,ID,0,68,35,240,595,"2,652",255,26
14,BROWNSVILLE,TX,0,31,69,331,593,"3,339",193,6
15,BURBANK,CA,1,6,38,81,244,968,250,7
16,CAPE CORAL,FL,1,8,20,132,431,"1,152",99,25
17,CARROLLTON,TX,2,2,44,74,374,"1,306",234,19
18,CHATTANOOGA,TN,8,74,219,603,"1,325","4,617",757,32
19,CHULA VISTA,CA,4,23,131,244,594,"1,894",945,20
20,CLARKSVILLE,TN,2,28,65,258,524,"2,394",99,14
