,제목,내용
0,진짜 고양이 아니었어? 동물도 가상모델,패션업체 LF는 자사의 비건(채식주의자) 화장품 브랜드 ‘아떼’의 영상 광고에 가상의 고양이 모델을... LF 측은 “비건 제품을 주로 소비하는 20~30대 중 상당수가 반려동물 애호가임을 고려해 실제 고양이를 광고 촬영에...
1,"[부스타] 부산 경찰서 지키던 '동물농장' 그 고양이, 찾아 나섰습니다","고양이 한마리가 초소 주변을 서성였습니다. 연신 “야옹, 야옹” 울음소리를 냈습니다. 근무 중이던 의경은 먹다 남은 치킨을 줬습니다. 그 뒤 고양이는 초소 주변을 매일 서성거렸고 의경들은 계속 간식을..."
2,"아떼, 비건 뷰티 캠페인 '땡큐아떼' 전개…3D가상고양이가 모델","아떼는 캠페인 모델로 3D가상 고양이를 선정하고, 고양이가 주인공으로 등장하는 시각 콘텐츠를 선보이며 비건 뷰티 철학을 선보였다. 제조과정뿐만 아니라 마케팅에서도 실제 동물 희생이 없다는 메시지를 통해..."
3,맑은 날씨에 낮잠 자는 고양이,맑은 하늘이 드러난 8일 오후 서울 종로구 낙산공원에서 고양이가 낮잠을 자고 있다. 2021.09.08. livertrent@newsis.com 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고...
4,9월9일은 '한국 고양이의 날'…수원시 비대면 강의 들어볼까,수원시가 오는 9일 '한국 고양이의 날'을 맞아 반려동물 건강 강의 등 '수원 고양이의 날 행사'를 갖는다고 8일 밝혔다. 반려동물 업계에 따르면 '한국 고양이의 날'은 매년 9월 9일이다. 고양이 작가인 고경원씨가 2009년...
5,제 새끼처럼 아기고양이 품은 맹견..`도베르만 핀셔 편견 깨`,"[ 해외에서 맹견으로 알려진 도베르만 핀셔가 새끼고양이를 제 새끼처럼 돌봐서, 맹견에 관한 편견을 깼다고... 7번째 자식은 바로 새끼고양이 ‘램블린 로즈(로지)’다. 도베르만 핀셔가 종(種)이 다른 새끼고양이를 맡게..."
6,꿈꾸는 고양이- 길냥이와 공존을 꿈꾸는 사람들,동네에 고양이들은 여전히 자리를 지키고 있다. 영역 동물인 고양이들은 철거 직전의 위험도 모른 채 사람이 떠난 빈자리에서 평온했던 지난날과 같은 삶을 꿈 꿀지도 모른다. 하지만 현실은 언제 건물들이 붕괴될지도...
7,벼와 고양이,아침 전후로 선선한 가을 날씨를 보이고 있는 8일 오후 서울 송파구 올림픽공원 내 벼농사 체험장에 벼가 익어가고 있다. 2021.09.08. kch0523@newsis.com 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다....
8,[고양이 눈]실패한 위장술,"전날 내린 비 탓에 급히 아무 데나 앉았네요. 원래 자작나무 줄기처럼 하얀 곳을 좋아하는데…. 아, 이러다 눈 좋은 직박구리에게 들키면 어쩌나. ―서울 강동구 명일동에서"
9,"㈜아로펫(AROPET), 고양이 모래 ‘코스믹캣’ 론칭",사진=㈜아로펫(AROPET) [세계비즈=박혜선 기자] ㈜아로펫(AROPET)은 숨쉬기 편한 고양이 모래 ‘코스믹캣’이 론칭한다고 9일 밝혔다. ㈜아로펫이 독자적으로 개발한 코스믹캣 고양이 모래는 미국 와이오밍주에서 채취한...
