제목,내용
고단한 고영희 님의 단잠..이모티콘 싱크로 100% 고양이,이모티콘과 100% 닮은 모습으로 단잠을 잔 고양이가 네티즌들에게 큰 웃음을 줬다고 일본 온라인매체 그레이프가 지난 29일(현지시간) 전했다. 일본 상공업도시 후쿠이에 자리한 고양이 카페는 지난 28일 트위터에 고양이...
새콤한 풋귤의 계절입니다~,고영희 대표는 귤향기 감귤체험농장에서 청귤청담그기 체험도 진행한다. 직접 청귤청 담가 카페에 납품... 제주시에서 감귤체험농장 '귤향기'를 운영하는 고영희 대표다. 고 대표는 풋귤이 본격적으로 유통되기 전부터...
[역사 속 공간] 개화기 역관 형제의 운명을 가른 ‘언어’,"고진풍의 네 아들 중 고영주와 ③고영선(1850~?), ④고영철(1853~1911)은 중국어 역관이 됐고 ②고영희(1849~1916)... 손자까지 일본 귀족이 된 고영희 그러나 시대는 고영철의 편이 아니었다. 조선에서의 주도권은 일본으로..."
"뉴지랩파마, 美 자회사 간암 대사항암제 2A+1상 임상 승인",미국 존스홉킨스대학 출신으로 대사항암제 분야 세계 최고 권위자인 고영희 박사를 영입해 신약개발사업을 시작한지 3년만에 이루어낸 큰 성과다. 특히 이번 임상은 ‘오픈라벨(Open Label)’ 방식(피험자와...
[매일춘추] 모두의 고영희 씨,"잘 되는 서점의 법칙이라 믿고 있지만, 우리 책방에도 '고영희 씨(고양이를 좋아하는 이들이 고양이를... 동네에는 고영희 씨에게 끼니를 주는 이들이 시간대별로 존재하므로 어쩌다 별미가 필요할 때 외에 그는 늘 우리를..."
"""'독립문' 현판 글씨, 매국노 이완용의 작품이랍니다"" [이기환의 Hi-story]","의장은 안경수, 위원장은 이완용, 위원은 이윤용·김가진·김종한·권재형·고영희·민상호·이채연·이상재·현흥택·김각현·이근호·남궁억 등이었는데요. 이중 이완용(1858~1926) 등 상당수는 훗날 한일병합의 공로를..."
"""오늘 눈화장 잘 됐냥?""..'완성형' 아이라인으로 미모 자랑하는 고양이","아침마다 집사 몰래 화장하는 고영희(Feat.눈꼬리는 거들 뿐) 공개된 사진 속에는 커다랗고 똘망똘망한... ""나란 고영희...... 귀여움으로 심장을 저격하지"" ""처음에 코야를 데리고 왔을 땐 털이 다 자라지 않은 상태라..."
'뭘 봤길래?'..아침 드라마급 리액션 선보이는 표정 연기 장인 고양이,"""어서 와~ 이런 귀요미는 처음이지?"" 해당 사진을 본 사람들은 ""대체 뭘 본 건가요?"", ""아침 드라마 시청하는 울 엄마 표정인데..."", ""충격적인 출생의 비밀을 알았나 봄"", ""고영희는 깜짝 놀란 표정도 귀엽네"", ""그 와중에..."
벽기둥에 붙은 스파이더맨 야옹이..고영희씨 능력 어디까지 한계?,"검은 고양이가 스파이더맨처럼 벽기둥에 붙어서, 집사를 소스라치게 만들었다고 일본 온라인매체 그레이프가 지난 29일(현지시간) 전했다. 생후 6개월 된 검은 고양이 ‘스즈’는 가다랑어포를 좋아하는 평범한..."
작은 냉감매트에 고양이들 바글바글..후기 별 5개 준 고영희님,"털찐 고양이들에게 힘든 여름이 성큼 다가왔다. 발 빠른 집사들은 무더위를 잘 견디도록 벌써 냉감 침구나 냉감 매트를 장만해, 재미있는 후기를 올려서 화제가 됐다. 최근 일본 온라인매체 그레이프에 따르면, 고양이..."
맞춤형 '개마개' 장착하고 만족한 고양이..'믿고 맡기는 개스타일~',"""나란 고영희...... 숨만 쉬어도 귀여운 타입"" 해당 사진은 7천3백 개 이상의 '좋아요'를 받으며 큰 인기를 얻었다. 사진을 접한 사람들은 ""'앙!'하고 문 강아지나 '웅?'하는 고양이나 너무 귀엽다"", ""고양이 표정 엄청 뿌듯해..."
류해상씨 작품 '몽환' 대한민국 정수사진대전 大賞,강희찬 고영희 곽동원 권미라 권영일 권영현 권영현 권태조 길금남 김경아 김경애 김경연 김광민 김국진 김남현 김동익 김상문 김생종 김석준 김석철 김선애 김선희 김선희 김성규 김성조 김성훈 김소진 김시권 김영수...
"솜방망이로 집사 머리 빗겨주는 쏘스윗한 고양이..""냥라스틴이다옹~""","""나란 고영희...... 얼빡샷에도 굴욕 없는 미모를 자랑하지"" ""뽀뽀는 제가 씻고 나오면 무서운 물이 있는 곳에서 무얼 하고 왔는지 깽알깽알 거리며 걱정을 해줍니다""라고 설명한 태은 씨. ""그 뒤로는 제 모습을 점검하며..."
[신복룡 기고] ‘착하지 않은 사마리아인’과 공존할 지혜 배울 때다,우리는 친일의 흑역사 청산을 외치며 친일파로 으레 을사5적(이완용·박제순·이지용·이근택·권중현)과 정미7적(이완용·임선준·조중응·이병무·이재곤·송병준·고영희)을 거론한다. 물론 그들이 역사에 지은 죄를...
"""예뻐해줘라냥!""..초롱초롱한 눈망울로 집사 툭툭 치는 고양이","""나란 고영희...... 특급 귀여움으로 집사 심장을 저격하지"" ""카레는 평소 제가 밥을 먹거나 게임을 하거나 TV를 시청할 때도 만져달라고 칭얼거린다""는 카레 집사 님. ""앞발로 소심하게 닿을 듯 말 듯 부들거리다 툭툭 친다""며..."
"[기사 분석] 대사 항암제, 항암치료제의 게임체인저로 부각",임상연구는 KAT의 '3BP(젖산 유사체)' 활용 기전을 직접 개발한 고영희 박사(미 뉴지랩파마 법인대표)가 총괄한다. 고 박사는 1924년 암은 대사질환이라는 것을 밝혀내 노벨 생리의학상을 수상한 독일 워버그 박사의...
"뉴지랩파마, 세계 최초 대사항암제로 글로벌 도전","(왼쪽부터) 고영희 박사, 페테르센 존스홉킨스 교수.(사진=뉴지랩파마)존스홉킨스 출신 대사항암제... 연구한 고영희 박사를 대표로 영입했다. 고 박사는 1924년 암은 대사질환이라는 것을 밝혀내 노벨 생리의학상을..."
"""이거 놔라냥!""..약 발라주려는 집사 째려보는 고양이","""나란 고영희~ 숨만 쉬어도 귀여운 타입이지"" 루꼬는 3살로 추정되는 공주님으로, 오빠 '미나리'와 한 지붕 생활을 하고 있다고. 남매 모두 순한 성격이라 여태 가족들에게 한 번도 발톱을 세운 적도, 문 적도 없는..."
"[인터뷰] 뉴지랩파마, '16조 블록버스터' 대사항암제 신약에 도전한다","재미과학자 고영희 박사는 헥소키나아제를 차단할 수 있으며, 암세포에만 선택적으로 작용하는 물질이 3BP... ▲왼쪽 피터페더슨 교수, 가운데 고영희 박사 KAT은 모든 암세포 외벽에서 활성화 되어있는 모노..."
"'쓰담쓰담' 거부하는 고양이와 집사의 팽팽한 기싸움..""이 손 치워라옹~""","""나란 고영희...... 귀여움으로 눈나들 심장을 저격하지"" ""진콩이는 사실 제가 근무하던 곳 천장에서 구조한 아이""라고 소개한 진현 씨. ""너무 어릴 때 데리고 와서 일주일 정도 출퇴근을 같이했었는데, 그때 만났던..."
"[더벨]뉴지랩파마, '대사항암제' 암 정복 조준 ""삶 건강 기여""",고영희 박사는 간암에 걸린 토끼들에 독성 물질 '3-브로모피루브산(3BP)'을 투여했다. 며칠 뒤 대조군과... 임재석 뉴지랩파마 사업부 대표(사장)는 14일 미국에 있는 고영희 박사를 대신해 더벨과 인터뷰를 진행하면서...
[김우섭의 바이오 탐구영역] 암세포 굶겨 죽이는 차세대 항암제로 美 시장 도전장 낸 뉴지랩,대사항암제 연구는 미국 존스홉킨스대에서 관련 연구를 오랫동안 해온 고영희 박사가 연구를 주도하고... 존스홉킨스 출신 고영희 박사가 주도 뉴지랩의 연구는 3BP를 직접 개발한 고 박사가 맡고 있습니다. 고 박사의...
"다함께자유당(가칭) 대전광역시당 창당...""나와라 대통령!! 윤석열""","최 위원장은 동구지역위원장에 고영희 전 금산군 부군수, 중구지역원장에 장영래 코리아플러스 대표... 다함께자유당 대전시당 창당대회에서 김성식 유성갑지역위원장(왼쪽부터), 최세환 시당 위원장, 고영희..."
"""나라를 구해줘! 나와라 대통령 윤석열!""","위원장, 고영희 동구지역위원장, 장영래 중구지역위원장이 기념촬영을 하고 있다. 최 일 기자최세환 윤사모... 동구지역위원장에 고영희 전 금산군 부군수, 중구지역원장에 장영래 코리아플러스 대표..."
"8.15는 광복절이다: 쉽게 풀어보는, 건국절이 헛소리인 이유","이완용과 이토 히로부미를 비롯하여 대한제국 내의 고위직 관료들(윤덕영과 민병석, 박제순, 고영희, 조중응, 이병무, 조민희, 데라우치 마사타케 등)과 조선통감부 고위관리들, 대한제국 황족들이 보인다. 반면 일제..."
'스파이더냥?'..집사가 매일 침대 밑 청소하는 이유,"엄청난 냥이가 왔다"", ""스파이더맨인 줄"", ""일단 즐거워 보이니 좋네요"", ""침대 밑 청소는 냥이에게 맡기시면 될 듯"", ""알 수 없는 고영희의 세계""라며 귀여운 여름이의 모습에 웃음이 절로 나온다는 반응을 보였다. ""여름이는..."
"집사 가방 속에 쏙 들어가 '까꿍 놀이'하는 고양이..""나도 데려가라옹!""","""나란 고영희..... 숨만 쉬어도 귀여운 타입"" ""제가 컴퓨터 할 때 옆에 있던 그릉이에게 관심을 주고 만져주니, 활발해져서 이곳저곳 들어가다 가방에도 들어가게 됐다""는 혜진 씨. ""혼자 보기 아까울 정도로 너무 귀여워서..."
"캣타워 오르려다 '입구컷' 당한 고양이..""체면 구겼다냥!""","빵 터졌네요!"", ""민망해서 도망가는 거 너무 귀엽다"", ""캣타워 위에 있던 아가가 놀리려고 따라가는 듯"", ""자려고 누워서 이불킥 할 고영희의 흑역사""라며 귀여운 여름이의 모습에 마음을 뺏겼다는 반응을 보였다. 솜방망이..."
