,제목,내용
0,[김우선의 서울근교 산행] 관악산,"이글거리는 불꽃 화관을 머리에 쓴 듯, 관악산(629m)은 아무리 멀리서 보더라도 금방 눈에 띤다. 그 특이한... 경기오악 중 하나인 관악산은 북한산국립공원의 삼각산이나 도봉산과 더불어 가장 대표적인 전철 산행..."
1,"[종합] '구해줘!홈즈' 강다니엘&김지석, '역학조사관' 집 찾기 도전..용인 궁전 하우스부터 관악산 핑크하우스까지",관악산이 바로 보이는 곳에 위치한 아파트 매물은 '숲세권' 뷰를 자랑했다. 아이가 좋아하는 따뜻한 핑크톤으로 마감을 한 인테리어도 눈에 띄었다. 가장 눈에 띄는 것은 거실 벽 뒤의 히든 공간. 안방을 나누어서 아이의...
2,"[포토] '붐비는 관악산 연주대, 방역수칙 준수 필요'",이투데이= | 14일 오전 관악산 연주대가 등산을 나온 시민들로 붐비고 있다. 코로나19 신규 확진자가 연일 400명대를 기록하는 등 확산세가 지속되고 있다. 등산객이 몰리는 봄철 산행엔 마스크 쓰기와 거리두기 등...
3,휴일 관악산 찾은 등산객,
4,관악산 등반하던 50대 등반객 숨져,오늘(12일) 오후 2시 15분쯤 경기도 과천의 관악산을 등반하던 50대 이 모씨가 숨졌습니다. 소방당국은 이 씨가 등산을 하던 중 호흡곤란이 찾아와 쓰러졌다는 신고를 받고 출동했지만 현장 도착 당시에도 이미 이 씨의...
5,"박군, 월세 40만원 '관악산 뷰' 옥탑방 감탄 ""제가 꿈꿨던 집""",박군이 옥탑방의 관악산 뷰에 감탄했다. 사진=SBS '미운 우리 새끼' 캡처 31일 방송된 SBS '미운 우리 새끼'에서... 옥상에서 관악산이 보일 정도로 탁 트였다. 하지만 다른 건물로는 1층 위치였다. 가격은 지금까지 본 집 중...
6,"[팝업★]""관악산 정기 받을래"" 홍진경, 공부 준비만 9시간→뇌 건강 위한 노력","그런데 지금 공부를 하면 안될 것 같다. 나 정기를 받고 싶다""라며 서울대를 가자고 졸랐다. 홍진경은 ""나 관악산 정기 받고 시작하고 싶다. 제발 한 번만 가보자""라며 지하철을 타고 향했다."
7,【오병욱 산 이야기】 산에서 배우는 인생 ⑫ - 관악산,"  오늘은 관악산이다. ​3개월여만의 관악산 산행이다. “관악산 등반. 오후 1시 사당역 집합, 하산 후 뒤풀이 생략”. 카톡 통신에 들어온 금주의 산행 공지에 집에서도 멀어 선뜻 가고 싶진 않았지만, 코로나로 찌든..."
8,관악산 오르는 시민들,"연휴 둘쨋날이자 2월의 마지막 날인 28일, 많은 등산객들이 서울 관악산을 찾아 산행을 하고 있다. 사진=서동일 기자"
9,한-미 안보협력 체제와 평택미군기지,전후 핵공격도 막을 수 있는 관악산 벙커가 이때 만들어졌다. 5.16 당시 쿠데타군이 8군사령관의 작전지휘를 벗어난 것에 맥그루더 사령관이 격노했다. 그와 타협하는 것이 관건이었다. 36세의 김종필이 이때 활약한다....
