,title,description,adress
0,블로그에 변호사 해시태그 단 미국 변호사 무죄 확정,국내 변호사 자격증 없이 개인 블로그 및 사회관계망서비스 계정에 자신을 변호사로 적은 해시태그를 또한 블로그 게시물엔 법률사무와 관련된 내용이나 홍보를 유인하는 링크가 없다며 해시태그 은 특별한 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004966960
1,블로그에 변호사 표기한 미국변호사 무죄 확정법률사무와 무관,개인적으로 운영하는 블로그에서 자신을 변호사로 기재한 미국변호사에게 무죄가 확정됐다 법원은 블로그에 학력과 미국변호사 자격취득 사실을 명시했고 게시글 내용도 법률사무와는 관련이 없다면 변호사법 위반이 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005593187
2,당근마켓 회수폐기 의약품 거래 막는다,같은 기간 일반 온라인몰에서 의약품 부당거래 행위 적발 건수는 총 만건으로 오픈마켓 만건 일반쇼핑몰 만건 카페블로그 건 사회관계망서비스 건 중고거래 건으로 집계됐다 이 가운데 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=003&aid=0010712705
3,대법 블로그에 변호사 태그 단 미국변호사 변호사 사칭 아냐,판결에 따르면 미국변호사 씨영문이름 는 년 월 자신이 운영하는 웹사이트에 한 포럼에 참석한 게시글을 올리며 말미에 변호사라고 태그하는 등 블로그에 자신을 변호사라고 칭했다 또 개인 에 자신을 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=009&aid=0004850135
4,취업 금지했는데 회장님 연봉은 억 원,동국제강은 블로그와 유튜브를 통해 사내 강연과 해외 공장 직원 격려에 나선 장 회장을 조명했습니다 장 회장이 공석일 동안 그 자리를 채웠던 동생 장세욱 부회장이 경영 전면에 나서고 있긴 하지만 최대주주로서 장 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=214&aid=0001147475
5, 코로나 여파로 미국 사무실 출근 무기한 연기,지난 일이하 현지시각 월스트리트저널에 따르면 는 블로그를 통해 미국 내 사무실을 완전히 재개할 수 있는 새로운 날짜를 예상하려고 노력하지 않기로 결정했다고 전했다 이어공중보건 지침에 따라 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=417&aid=0000733922
6,위기의 중년 부부에겐 중간맛의 사랑이 필요하다,블로그에 남편이라고 입력하고 기록을 찾으니 건의 글이 나왔다 지난 년간 쌓인 여 개의 글 중에서 블로그 기록은 내 생활의 극히 일부이고 모든 기록을 블로그에 다 남기지는 않았으니까  블로그 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=103&oid=047&aid=0002326264
7,박원순 피해자 실명 공개 대 여성심서 집행유예,최씨는 지난해 월 가입자가 명이 넘는 네이버 밴드와 블로그에 기획 미투 여비서를 고발합니다라는 재판부는 공소사실을 모두 유죄로 인정하며 네이버 밴드와 블로그에 피해자 실명 등을 달 넘게 게시해 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=014&aid=0004706405
8,단독 전자발찌 개선 구형모델 착용한 범죄자들 많다, 초기 전자발찌 법무부 공식 블로그 캡처  년부터 도입된 일체형 전자발찌 법무부 공식 블로그 캡처 전자발찌의 모습도 많이 달라졌다 초기에는 전자발찌와 함께 휴대용 추적장치 재택감독장치 등 여러 ,http://www.upinews.kr/newsView/upi202109100086
9, 코로나 확산에  사무실 출근 무기한 연기,재러드 스파타로  부사장은 이날 블로그를 통해 코로나 불확실성을 고려해 미국 내 사무실을 완전히 다시 열 새 날짜를 정하지 않기로 결정했다고 밝혔다 이어 직원들을 다시 사무실로 부를 때가 되면 한 달 동안 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=023&aid=0003639599
