,title,description,adress
0,아아아 내가 미쳐,오늘 선물 택배 보내려고 그제 주문한 택배기다림 아아아 엔조퀼트 미워 이리 늦게 무슨 택배가 이시간에 오냐구요  쪼매만 기달려 주세욥 내일 꼭 보내고 송장번호 드릴께용 애들아 가서 ,https://blog.naver.com/wbffl2003?Redirect=Log&logNo=221389723070
1,차 배터리 방전되서 공회전중심심하다아아아,언니 산후조리원에서 싸우고 집 가려고 차 시동 걸었는데 안걸림오잉 계속 걸어도 안걸리고 지글거리기만 함 차에 대한 지식이 없으니 검색을 해보자  검색을 해도 모르겠네 결국 긴급출동을 ,https://blog.naver.com/mungiz09?Redirect=Log&logNo=220573813910
2,하아아아아 오카다 마리 결국 저질렀군요,방금 전에 아쿠에리온  화를 감상했네요 감상을 하고 한동안 정신이 멍해져있다가 이건 감상을 적을 수 밖에 없어서 작성합니다 아래의 내용은 아쿠에리온 에 대한 내용누설 및 극심한 멘탈 ,http://sungpx.egloos.com/4701648
3,아아아 너무 귀여워조던 분뱀조던 브레드,두두두둥 힘들게힘들게 구한 훈봉이의 땀과 정성이가득한 해외에서 날라온 조던  분뱀이에요 원래 조던신발은 별 관심없었는데 작년 겨울 훈오빠가 꼭꼭꼭 조던신발사고싶다고 어디서 정보를 수집해서 ,https://blog.naver.com/heji217?Redirect=Log&logNo=206443545
4,식사  아아아 여름이다, 수박하면 여름 여름하면 수박 수박의 계절이 왔다혼자 지내면서 수박한통은꿈에도 못꾸는데혼자 다 먹을 자신도 없고별로 사고싶은 마음이 안들었다 우리 사랑넘치는 어머님 수박한통 사고 사이좋게 ,https://blog.naver.com/youwa012?Redirect=Log&logNo=220041305151
5,스케치 다끝났뚜와아아아아아앙ㅇ아앙,솨비연필님 전사하셨습니다 아아 그는 멋진 솨비연필이었습니다  진짜 미술용 연필깍지는 신의 한수인 것 같습니다 뒤를 저렇게 깎아둬야 하는 게 불편하지만 와 진짜 수욜부터 알바 나가게 되버려서 앙대 ,https://blog.naver.com/hot3221?Redirect=Log&logNo=220230994325
6,올해의 봄 기록 봄이 끝나간다아아아쉬워어어어,매일 아침 듣는 삼프로 에서 오늘이 여름 전의 마지막 절기인 곡우라고 했다 곡우는 봄비가 내려 백곡을 기름지게 한다는 뜻이라고 한다 절기 중 번째 절기 봄의 끝 벌써 아쉬운 마음에 봄나들이 ,https://blog.naver.com/iii6936?Redirect=Log&logNo=222316789211
7,키보드 왔다아아아,요전에 주문했었던 키보드가 드디어 왔습니다 거진 일을 기다림ㅂㄷㅂㄷ 이름은 보시면 얼추 알만 하시겠지만 정확히 말씀드리자면 쿨러마스터       적색 해당 기종은 청축만 ,https://blog.naver.com/lliru?Redirect=Log&logNo=220106405288
8,데일리룩 날씨가 풀렸드아아아아아앙,날씨 풀렸드아아아앙 꺄하하하하하하 존좋 낮만 되면 햇빛이 쨍쨍 들어오는데 업무 때려치고 나가서 슬프다 구롬 이로케 계쏙 날씨가 좋길 바라며 오늘의 데일리룩 포스팅 마친드아아아아앙,https://blog.naver.com/nino911?Redirect=Log&logNo=220270119935
9,퀴퍼 번만 더 하고 싶다아아아,퀴퍼 끝나고 괜히 그 여운에 젖어서 아쉬운 나머지 네이버에서 퀴어문화축제로 이미지들 다 검색해서 보고 유튜브에서 퀴어문화축제퀴어행사퀴어축제퀴어퍼레이드 심지어 동성애 축제로 ,https://blog.naver.com/list1000?Redirect=Log&logNo=221053746300
10,포스터 왔다아아아ㅂ,전에 메이플스토리 페이스북에서 한 포스터 이벤트에 당첨되어서 포스터가 빨리 오기만을 기다리고 있었는데월 일 회색 비닐봉투 하나가 제 이름으로 배달되었어요 봉투를 뜯어보니 길쭉하고 검은 종이 ,https://blog.naver.com/fly181?Redirect=Log&logNo=220411988746
11,미숫가루빙수 인절미 빙수가  뙇아아아아아아아 ,잇님들 안산잇님들  오늘은 불토 불토에 좋은 소식 하나 가지고 왔쑵니당   당장 여기 주목 안산에 드디어 설빙이 생겼어용 눈꽃빙수로 그렇게 ,https://blog.naver.com/iay1004iay?Redirect=Log&logNo=206270358
12,아아아지금 패닉상태, 오늘 컴퓨터 파일 정리하다가 모르고 소중한 파일 하나를 날려버렸습니다 이럴수가 아아아 내잘못으로 삭제한것이니 누굴 탓할수도 없고 당분간 이문제 해결할동안은 우울,https://blog.naver.com/kollwnet?Redirect=Log&logNo=100131880362
13,아 아 아 문제,아 아 아 문제 다른 아이들이 당신을 볼 때 당신은 나를 좋아합니다 이해하다 다시 묻게되어 죄송합니다 맞아 교실 문을 통해 복도에서 희미한 소리가 새어 균열이 열렸습니다 이것이 마지막 질문입니다 ,https://blog.naver.com/bowl_39135?Redirect=Log&logNo=222107542964
14,끼아아아아아아아아 공룡 옷을 입은 후룸 라이드 ,끼아아아아아아아아아아아아아악 조금씩 차이는 나지만 강하 각도 도 순간 시속  의 경사 길이 그렇지만 실제 이 시설을 탑승해 보면 거의 수직으로 자신이 떨어지고 있는 기분을 느낍니다 ,https://blog.naver.com/khegel?Redirect=Log&logNo=100087468275
15, 아아아 넘넘 짱짱 맛있어 핏제리아델 포폴로 짜응,아실듯 아아아 다다다 내 스퇄 오픈시간 맞춰왔는데도 이미 두 테이블 차 있고 포장 엄청 해가는 먹음 아아아 뭐야뭐야 진짜 저 토마토도 예사롭지 않아 이 빵 뭐니 대체 그냥 이것만 먹어도 넘넘 ,https://blog.naver.com/yumommy0924?Redirect=Log&logNo=220848988416
16,기억술사 왔다꺄아아아아아앙아아아각,정말 몇주에 걸쳐서 온거니 안되겠어 일본에살아야지 흥 여튼 드디어 왔습니다아아악 그럼 지금까지 뭘로보았냐는 질문이 분명올테니 미리 또 말씀드립니다 가람언니가 ㅋㅋㅋㅋㅋㅋ일본에서 ,https://blog.naver.com/ekgmls07?Redirect=Log&logNo=222139639570
17,아아아,그리고 그 한마디때문에 나뿐만 아니라 내 뒤의 그림자까지 뭉개졌겠지 세상 모든건 이유가 있어야 했다 난 결국 그 전에 내 멘토를 봐야 했던게 맞는 것이다 난 미련한 짓을 한게 맞아 아아아,https://blog.naver.com/laiakina?Redirect=Log&logNo=140144019068
18,아이들이랑 가보고싶은곳 너무 이쁘다아아아,시누이가 일본여행을 다녀왔네요 다녀오면서 이것저것 선물도 사들고 왔지만 무엇보다 디즈니랜드 야간퍼레이드 사진을 보내주면서 다음번엔 아이들이랑 함께 가면 좋곘다는거에요 그리고 사진을 잔뜩 ,https://blog.naver.com/ekfgo95?Redirect=Log&logNo=220510737544
