,제목,내용
0,"'싱글맘' 야옹이 작가, 초등학생 아들 사진 올리며…""힘들어서 미안해""","웹툰 '여신강림'의 야옹이 작가가 힘든 심경을 고백했다. 야옹이 작가는 22일 자신의 인스타그램에 ""우리 둘이서 힘내서 살아야 하는데 하루에도 몇 번씩 무너져 내리는 마음을 다잡기가 힘들어서 미안해""라는 글을..."
1,"야옹이 작가, ♥전선욱 옆에서 '3억원대 슈퍼카' 자랑..럭셔리한 여자친구","웹툰 '여신강림'의 야옹이 작가가 3억대 슈퍼카를 자랑했다. 야옹이 작가는 20일 자신의 인스타그램에 ""시승기 찍고왔어요!""라는 글과 함께 사진을 게재했다. 공개된 사진 속 야옹이 작가는 자신의 슈퍼카 시승기를 촬영한..."
2,"'여신강림' 야옹이 작가, 우월 볼륨감 뽐내며…역시 만찢녀","'여신강림' 야옹이 작가가 물오른 미모를 뽐냈다. 네이버웹툰 '여신강림'을 연재 중인 야옹이 작가는 18일 오후 자신의 인스타그램을 통해 영상을 게재, 근황을 전했다. 공개된 영상 속 야옹이 작가는 어깨 라인이..."
3,스크롤 내리면 '입.틀.막' 유발한다는 야옹이 작가 새 인스타 사진,야옹이 작가가 엄청난 글래머 몸매로 시선을 압도했다.야옹이 작가는 18일 자신의 인스타그램에 사진과 영상을 올렸다.사진 속 야옹이 작가는 옷방에서 거울 셀카를 찍고 있다. 가슴라인이 환히 파인 옷을 입은 탓에 그의...
4,"야옹이 작가, 마감 4일 전에도 눈부셔..민낯이 이렇게 예쁠 일?","웹툰 '여신강림'의 야옹이 작가가 아름다운 미모를 자랑했다. 18일 야옹이 작가는 자신의 인스타그램에 ""6:20 am 작업실, 마감4일전 예지 방금 퇴근함.. 몹시 자고 싶고 씻고 싶음 +타우린 카페인""이라는 게시글과 함께 여러..."
5,야옹이 작가 3억대 페라리 뽑았다…“포르쉐는 정리했어요”,"인기 웹툰 '여신강림' 야옹이 작가가 2년 만에 출고된 페라리를 인증했다. 지난 16일 야옹이 작가는 자신의 인스타그램을 통해 ""2년 만에 출고. 다른 차량은 전부 정리하고 요 친구만 남았어요ㅎㅎ 포르쉐에 영혼까지..."
6,"[리부트] 야옹이 김나영 작가, 3억 원 대 차 구입→1억 원 기부 약정 재조명","웹툰 '여신강림'의 야옹이 작가(김나영)가 1억 원을 기부 약정한 사실이 재조명되고 있다. 지난 16일 야옹이 작가는 자신의 인스타그램에 기본 가격만 3억 2천만 원인 페라리 로마 사진을 올리며 ""#ferrariroma 2년 만에 출고!..."
7,"야옹이 작가, 2년 기다린 3억대 페라리 로마 과시 ""포르쉐 등 정리""","웹툰 '여신강림' 야옹이 작가가 포르쉐에 이어 페라리 로마를 샀다. 야옹이 작가는 지난 16일 자신의 인스타그램에 ""2년 만에 출고됐다""며 빨간 페라리 로마 차량 앞에서 포즈를 취한 사진을 공개했다. 야옹이 작가는..."
8,[영상] '싱글맘' 야옹이 작가 '3억 페라리' 2년만에 뽑았다,"웹툰 ‘여신강림’ 야옹이 작가(본명 김나영, 30)가 2년 만에 출고된 슈퍼카를 공개했다. 야옹이 작가는 지난 16일 자신의 인스타그램에 ""다른 차량은 전부 정리하고 요친구만 남았어요""라며 “포르쉐pdk에 영혼까지..."
9,“170 넘는 여자 처음 봄?” 야옹이 작가가 참다 참다 꺼낸 말,"야옹이 작가가 계속해서 따라붙는 포토샵 의혹에 대해 분노를 표출했다.야옹이 작가는 17일 자신의 인스타그램에 ""또 늘렸네 마네 해서 동영상 올려줘도 늘렸니 마니. (키) 170 넘는 여자 처음 보나 봄? 악플다는 놈들..."
