,제목,내용
0,"이디야 콤부차, 높아지는 건강 관심에 급성장하는 新 트렌드 음료로 자리매김","커피 프랜차이즈 이디야커피가 전국 가맹점 데이터 분석 결과, 2021년 상반기(1월~6월) 기준 ‘이디야 콤부차’ 판매량은 전년 동기 대비 171% 증가했으며, 2021년 6월 기준 판매량은 전년 동기 대비 68% 증가했다고 밝혔다...."
1,"이디야커피, '갤럭시치노' 10만 잔 돌파 기념 구매 시 더블 적립 이벤트 진행",이디야커피는 신제품 '갤럭시치노' 10만 잔 돌파 기념으로 19일부터 2주간 '갤럭시치노' 구매 시 더블 적립 이벤트를 진행한다고 밝혔다. 이디야커피는 8월 1일까지 신제품 '갤럭시치노' 2종을 마시면 이디야멤버스...
2,우주 담은 이디야 '갤럭시치노' 출시 열흘 만에 10만잔 판매,이디야커피의 플랫치노 신메뉴 2종이 출시 열흘 만에 10만 잔을 팔아치웠다. 이디야커피는 지난 8일 선보인 여름 시즌 한정 메뉴 '갤럭시치노' 2종이 출시 열흘 만에 누적 판매량 10만 잔을 돌파했다고 19일 밝혔다. 하루에...
3,"이디야커피, '갤럭시치노' 구매 더블 적립 이벤트",이디야커피는 신제품 '갤럭시치노' 10만 잔 돌파 기념으로 19일부터 2주간 '갤럭시치노' 구매 시 더블 적립 이벤트를 진행한다고 19일 밝혔다. 이디야커피는 8월 1일까지 신제품 갤럭시치노 2종을 마시면 이디야멤버스...
4,"이디야커피, ‘갤럭시치노’ 출시 10일만 10만잔 판매 돌파...기념 이벤트 진행",‘갤럭시치노’ 2종 마시면 스탬프 적립 2배 혜택  이디야커피는 신제품 ‘갤럭시치노’ 10만 잔 돌파 기념으로 19일부터 2주간 ‘갤럭시치노’ 구매 시 더블 적립 이벤트를 진행한다고 밝혔다. 이디야커피는 8월...
5,"이디야커피, ‘갤럭시치노’ 출시 10일만에 10만잔 돌파",제공 이디야커피는 신제품 ‘갤럭시치노’ 10만 잔 돌파 기념으로 19일부터 2주간 ‘갤럭시치노’ 구매 시 더블 적립 이벤트를 진행한다. 이디야커피는 8월 1일까지 신제품 ‘갤럭시치노’ 2종을 마시면 이디야멤버스...
6,"이디야커피, ‘갤럭시치노’ 구매 시 더블 적립 프로모션",▲ 이디야커피가 갤럭시치노 구매 시 2배 적립 행사를 진행한다©이디야커피 이디야커피는 신제품‘갤럭시치노’ 10만 잔 돌파 기념으로19일부터2주간‘갤럭시치노’구매 시 더블 적립 행사를 진행한다고 밝혔다....
7,"이디야커피, ‘갤럭시치노’ 구매 시 더블 적립 이벤트",이디야커피는 신제품 ‘갤럭시치노’ 10만 잔 돌파 기념으로 이달 19일부터 내달1 까지 ‘갤럭시치노’ 구매 시 더블 적립 이벤트를 진행한다고 최근 밝혔다. 이디야커피는 내달 1일까지 신제품 ‘갤럭시치노’ 를...
8,"“10일만에 10만잔 돌파 기염” 이디야커피, ‘갤럭시치노’ 구매 시 더블 적립",뷰어스 심영범 기­자 이디야커피는 신제품 ‘갤럭시치노’ 10만잔 돌파 기념으로 19일부터 2주간 ‘갤럭시치노’ 구매 시 더블 적립 이벤트를 진행한다고 밝혔다. 이디야커피는 8월 1일까지 신제품 ‘갤럭시치노’ 2종을...
9,"이디야커피, '갤럭시치노' 구매 시 더블 적립 이벤트 진행",이미지=이디야커피 갤럭시치노 더블 적립 이벤트 이디야커피는 신제품 '갤럭시치노' 10만 잔 돌파 기념으로 19일부터 2주간 '갤럭시치노' 구매 시 더블 적립 이벤트를 진행한다고 밝혔다. 이디야커피는 8월 1일까지 신제품...
