,title,description,adress
0,  카페 여수 밤바다,낭만적을 즐기면서 커피한잔 여수 밤바다 묵호항 카페 흉내내기 카페마당 묵호등대 카페 카페 창문에서,http://cafe.naver.com/photolabo/94240
1,카페버튼도 사랑이에요,출처카페버튼 스샷  카페로 향하는 순간부터 마크마크 뿅뿅 진심 내 카페 카페버튼만 바라보고있어도 좋아요 사랑사랑합니다 하명하명합니다 감사합니다 카페서 이전 마프님들 소중한 글들 읽으며 ,http://cafe.naver.com/markchao/24799
2,감성 포텐터지는 김해 쓰리방동 카페,요즘 이쁜카페 너무 많죠 우연히 예전 근무했던 동네갈일있어서 찬찬히 동네를돌아봤어요 벌써 요기 이런골목에 이렇게이쁜카페가있었나 김해 삼방동골목 주택가에 자리잡은 쓰리방동  카페 경남 김해시 ,http://cafe.naver.com/taraboramfancafe/17271
3,주말 내차가 보이는 카페,오늘은 공주로 카페투어를 왔습니다 근교만 나와도 예쁜 카페가 참 많은거 같아요 그래서 오늘은 카페에서 카페로 투어 코로나라 어딜가도 사람이 많진 않네요 첫번째 카페는 공주에 엔학고레 자연 속에 단독으로 있는 ,http://cafe.naver.com/bmwzclub/56259
4,제주 서귀포 카페 레트로풍 분위기,제주 여행 이튿날 서귀포에 숙소를 잡고 체크인 한 후 드라이브 하러 나왔다가 우연히 발견하게 된 제주 서귀포 카페 카페일사일 제주도에서 유일한 레트로풍의 카페로 마니아들 사이에서 굉장히 인기있는 카페 였어요 ,http://cafe.naver.com/cosmania/33058457
5,생일카페이벤트사전공지,하고있는 생일카페를 하기로 했습니다 골프계의 아이돌하면 당연 남달라 박성현프로님 아니겠습니까 하여 회원님들이 직접 참여할수 있는 이벤트를 진행하면 좋겠다는 생각을 하게되었습니다 생일카페가 뭔지 ,http://cafe.naver.com/parksunghyunpro/56172
6,드라이브카페 투어,바다 보러 가려던 계획은 밍기적거림으로 취소하고 아들 생선 사주고 드라이브겸 카페 왔네요 이렇게 대형카페가 자꾸 생기는건 되니까 생기는거겠죠 보슬보슬 비도 내리고 창 너머 보이는 풍경이 좋으네요 예쁜 ,http://cafe.naver.com/hong0909/1835933
7,거제도 카페 가조오션탑라운지,그러나 요즘 카페 맛집 뷰맛집 들이 대거 등장하면서 하루 두세곳씩 둘러보기 바쁘네요 요즘 핫한 장목부산쪽 거가대교 한화 벨버디어과 가조도통영쪽 거제대교 어느 브릿지로 넘어오냐에 따라 가게될 카페가 ,http://cafe.naver.com/hotellife/1650079
8,콜카페 운영진 분들 감사합니다,김포로 이사오면서 가입한  콜럼버스의 부동산정보  벌써 년이 넘었네요 김포 오면서 좋은 추억도 많고 많은 도움 받은 카페로 애착이 가는 카페입니다 카페 관리 잘해주셔서 감사합니다 김포 대표카페 콜카페만 ,http://cafe.naver.com/columbusrealty/160489
9,저기 야외카페 흡연 질문이요,지금  판교테크노밸리 근처 야외카페에 카페명은 적지 않겠습니다 아이들과 나와서 맛난 청귤에이드 마시고 있는데 어디서 스믈스믈 담배 냄새가 너무 심하게 나길래 옆테이블 남자 넷이서 뻑뻑 피길래 쳐다봐고 ,http://cafe.naver.com/pangyomommy/517363
10,바다보며 힐링한 서귀포 브런치 카페,평소에도 브런치를 즐기는 편이라 제주도에 가서도 맛있고 분위기 좋은 카페만 골라골라 카페 투어를 했답니다  그 중에서 제주 바다가 보이고 편안한 분위기에 맛도 너무 좋았던 서귀포 브런치 카페 카페담아 ,http://cafe.naver.com/cosmania/33142007
11,힐링이 절로 되는 서귀포 디저트 카페,제주도에 여행 온 이들이라면 아름다운 뷰 카페라든지 맛있는 카페 등 꼭 한 번은 간다고 하잖아요 제주에 사는 사람들이면 더욱 즐겨 찾곤 하지요 왜냐 힐링이 되니깐 꼭 멀리 가지 않아도 아름다운 카페 맛있는 커피와 ,http://cafe.naver.com/gangmok/1514578
12,부산 분위기 좋은 카페 정관,안녕하세요 정관에 분위기 좋은 카페를 소개드려봅니다  병산리 카페 유정  병산  웨스턴챔버 브레이크인 커피  모전리 카페브런치 카페 카페  모디테이블 루루 빌리프커피  곰내재 카페 ,http://cafe.naver.com/igmom/70208
13,논 뷰 카페ㅋㅋ,뚜벅이는 오늘 친구 덕분에 근교로 가서 코에 바람 넣고 왔습니다ㅋㅋ 위양못 근처 카페 카페앞 논뷰ㅋㅋㅋㅋㅋㅋ 직원분이 너무나 불친절해 다신 안갈곳ㅋㅋㅋㅋ 집앞 단골인 카페 사장님이 너무 생각나더라구요 ㅋ ,http://cafe.naver.com/runingmising/263927
14,카페 맞가입해요,유사카페 홍보게시물 발견 또는 초대 쪽지를 받으시면 관리자에게 쪽지메일로 신고 부탁드립니다 품앗이 먹튀 신고 게시판에 신고 해주세요  카페 활성화 품앗이는 출첵만 요청하시 마세요 의미없는 ,http://cafe.naver.com/sens3/1631787
15,카페 맞가입 합니다,유사카페 홍보게시물 발견 또는 초대 쪽지를 받으시면 관리자에게 쪽지메일로 신고 부탁드립니다 품앗이 먹튀 신고 게시판에 신고 해주세요  카페 활성화 품앗이는 출첵만 요청하시 마세요 의미없는 ,http://cafe.naver.com/sens3/1630319
16,제주도 함덕 카페 오션뷰가 너무 예뻐,되도록 사람은 없으면서 예쁘고 깔끔한곳 어디 없나 했는데 아무래도 동네 안쪽의 신상카페들을 찾는게 빠르겠더라구요 알게된 제주도 함덕 카페 시소를 방문했습니다 검색해보다가 발견했는데 신상카페임에도 핫해서 ,http://cafe.naver.com/livejob/1043602
17,서귀포 브런치 카페 바다보며 힐링,그 중에서 제일 기억에 남는 서귀포 브런치 카페 편안한 정원과 바다를 보며 힐링할 수 있었던 카페담아 강추합니다 근처에 올레길 코스 코스 가는 길에 만날 수 있는 서귀포 브런치 카페 카페담아 브런치도 여유롭게 ,http://cafe.naver.com/livejob/1043395
18,절벽카페 나들이,절벽카페입니다 절벽이 대단한 건 아니지만 아래가 해수욕장이라 더 높아보입니다 뷰는 좋아요 낙조가 있습니다 뷰가 좋을수밖에 없겠죠 해변뷰 아주 엠클리프 절벽카페 카페 낙조맛집카페 캠핑카판매 새주인언제,http://cafe.naver.com/acecamper/33062
19,이천엔 예쁜카페가 많아요,아이들 학원 근처에서 발견한 아기자기한 예쁜 카페 카페조을 오늘도 애쓴 나에게 필요한 달달한 바닐라라떼로 아이들 하원때까지 잠시 혼자만의 여유를 가져봤습니다 이천엔 예쁜카페들이 참 많네요 다른 곳들도 물론 ,http://cafe.naver.com/momsuda/1109999
20,밀양 카페 중에서 부북에 위치한 카페그로브,밀양 카페 중에서 부북에 위치한 카페그로브 밀양 카페 중에서 부북에 위치한 카페그로브 밀양 카페 중에서 부북에 위치한 카페그로브 밀양 카페 중에서 부북에 위치한 카페그로브 밀양 카페 중에서 부북에 위치한 ,http://cafe.naver.com/1004dhkim/9503
21,제주 남원 카페 분위기 넘 좋아요,제주도에서 유일하게 레트로풍의 카페인 제주 남원 카페 카페일사일 아름다운 제주 바다를 바라보며 다양한 음악을 감상할 수 있는 곳이라 힐링하기에 너무 좋은데요 ㅎㅎ 제주도의 외곽에 자리잡고 있어서 한적하게 ,http://cafe.naver.com/cosmania/33073223
22,마고마고 구매대행 카페 반갑습니다,마고마고 구매대행 카페를 찾아주셔서 감사합니다 제목필수  마고마고 구매대행 카페 반갑습니다 복사하셔서 가입 게시글 올려주심 됩니다 마고마고 구매대행 이용방법은 링크 참고해주세요  ,http://cafe.naver.com/1rabel/253310
23,새샘 단지 근처 카페,이번주 토요일에 새샘 단지쪽에 세차장 가서 차 맡길건데 혹시 한시간 정도 갈만한 카페가 있을까요 별다방 디아 파리트 등 체인점 말고 좀 맛있는 카페 추천해주시면 감사하겠습니다 카페말고 갈 곳은 없는지도 ,http://cafe.naver.com/no1sejong/3068764
24,오늘의사진  카페,오늘의 사진인 카페를 둘러보며 사진 촬영 후 여행지에서 들렀던 카페를 중심으로 올려봅니다 여주클라세카페 비오는날 김광석거리 카페 양평 꿈꾸는 사진기 카페 장화리 카페 대림창고,http://cafe.naver.com/photolabo/94258
