일자,요일,총교통량
2020-01-01,수,7315694.0
2020-01-02,목,9251365.0
2020-01-03,금,9998638.0
2020-01-04,토,9128684.0
2020-01-05,일,7868358.0
2020-01-06,월,9276153.0
2020-01-07,화,9091902.0
2020-01-08,수,9535223.0
2020-01-09,목,9920145.0
2020-01-10,금,10124589.0
2020-01-11,토,9350911.0
2020-01-12,일,8007541.0
2020-01-13,월,9663241.0
2020-01-14,화,9611072.0
2020-01-15,수,9754453.0
2020-01-16,목,9877128.0
2020-01-17,금,10087521.0
2020-01-18,토,9530409.0
2020-01-19,일,7961256.0
2020-01-20,월,9819762.0
2020-01-21,화,10107424.0
2020-01-22,수,10269455.0
2020-01-23,목,10044474.0
2020-01-24,금,7747673.0
2020-01-25,토,8466401.0
2020-01-26,일,7355056.0
2020-01-27,월,6925214.0
2020-01-28,화,9113726.0
2020-01-29,수,9811151.0
2020-01-30,목,9930335.0
2020-01-31,금,10107177.0
2020-02-01,토,8986316.0
2020-02-02,일,7302360.0
2020-02-03,월,9584349.0
2020-02-04,화,9736249.0
2020-02-05,수,8531265.0
2020-02-06,목,8891828.0
2020-02-07,금,9573714.0
2020-02-08,토,8762056.0
2020-02-09,일,7320580.0
2020-02-10,월,8944861.0
2020-02-11,화,9591758.0
2020-02-12,수,9483013.0
2020-02-13,목,9849602.0
2020-02-14,금,10269882.0
2020-02-15,토,9236459.0
2020-02-16,일,7363673.0
2020-02-17,월,9025272.0
2020-02-18,화,9884287.0
2020-02-19,수,9842203.0
2020-02-20,목,9910233.0
2020-02-21,금,9998368.0
2020-02-22,토,8618246.0
2020-02-23,일,6899883.0
2020-02-24,월,8850897.0
2020-02-25,화,8908232.0
2020-02-26,수,9350254.0
2020-02-27,목,9461588.0
2020-02-28,금,9269126.0
2020-02-29,토,7995118.0
2020-03-01,일,6119291.0
2020-03-02,월,9056278.0
2020-03-03,화,9274285.0
2020-03-04,수,9366508.0
2020-03-05,목,9522182.0
2020-03-06,금,9651453.0
2020-03-07,토,8276706.0
2020-03-08,일,6502748.0
2020-03-09,월,9245001.0
2020-03-10,화,8738505.0
2020-03-11,수,9305490.0
2020-03-12,목,9507487.0
2020-03-13,금,4369051.0
2020-03-14,토,8593150.0
2020-03-15,일,6563332.0
2020-03-16,월,9187310.0
2020-03-17,화,9159829.0
2020-03-18,수,9390506.0
2020-03-19,목,9398797.0
2020-03-20,금,9991699.0
2020-03-21,토,8716909.0
2020-03-22,일,7043920.0
